사원번호,이름,성별,나이,생년월일,주민등록번호,병역,입사일,근속기간,학력,출신대학,학점,채용경로,계약형태,이전직장명,이전최종직급,이전담당업무,회사명,사업장위치,부서,팀,부서레벨,직급,직책,직급레벨,퇴직구분,퇴직일자,이메일,전화번호,주소
EMP0018,차준혁,남,29,1998-06-09,980609-1910143,면제,2025-07-24,0,대졸,한국외국어대학교,2.8,공채,정규직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,사원,팀원,1,,,chajunhyuk.4@daum.net,010-1157-6488,서울시 강남구 역삼동
EMP0019,공수빈,여,27,2000-08-02,000802-4442099,해당없음,2023-04-14,3,대졸,서울대학교,3.6,추천,정규직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,사원,팀원,1,,,kongsubin_307@gmail.com,010-3693-8365,서울시 강서구 마곡동
EMP0020,백채원,여,36,1991-05-15,910515-2584487,해당없음,2014-04-15,12,고졸,,,공채,정규직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,과장,팀장,1,,,baekchaewon_112@kakao.com,010-7098-2376,경기도 고양시 일산동구 장항동
EMP0021,정서윤,여,27,2000-06-04,000604-4163941,해당없음,2023-03-03,3,대졸,중앙대학교,3.7,추천,정규직,,,,두리안정보기술,서울 여의도,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,jungseoyoon54@kakao.com,010-6883-8859,경기도 수원시 영통구 매탄동
EMP0022,문아름,여,36,1991-01-11,910111-2721301,해당없음,2017-05-06,9,대졸,경희대학교,3.3,추천,정규직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,과장,팀원,1,,,moonareum.3@naver.com,010-9064-9882,서울시 강동구 천호동
EMP0023,노도윤,남,24,2003-01-17,030117-3930307,미필,2025-10-08,0,대졸,경북대학교,3.0,경력,계약직,네이버,사원,백엔드개발,두리안정보기술,서울 여의도,개발부,AI팀,1,사원,팀원,1,,,nohdoyoon38@daum.net,010-5825-3086,서울시 마포구 상암동
EMP0024,원동현,남,36,1991-06-26,910626-1274418,면제,2023-03-20,3,전문대졸,영진전문대학교,3.6,인턴전환,계약직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,대리,팀원,1,,,wondonghyun_484@kakao.com,010-2207-1547,서울시 강동구 천호동
EMP0025,홍현준,남,25,2002-03-24,020324-3104000,군필,2025-03-13,1,대학원졸,중앙대학교,3.6,추천,계약직,,,,두리안정보기술,서울 여의도,기획부,전략기획팀,1,사원,팀원,1,,,honghyunjun_kr@gmail.com,010-8758-2892,서울시 강동구 천호동
EMP0026,심지영,여,40,1987-07-06,870706-2820442,해당없음,2015-11-18,10,대졸,성균관대학교,3.2,인턴전환,계약직,,,,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,차장,팀원,2,,,shimjiyoung.9@hanmail.net,010-3415-2970,서울시 강서구 마곡동
EMP0027,한건우,남,26,2001-11-14,011114-3923914,미필,2025-07-03,0,고졸,,,공채,정규직,,,,두리안정보기술,서울 강남,인사부,교육팀,3,사원,팀원,1,정년퇴직,2027-07-03,hangunwoo.8@hanmail.net,010-8750-1613,서울시 마포구 상암동
EMP0028,배지아,여,45,1982-06-23,820623-2321659,해당없음,2010-01-13,16,고졸,,,공채,계약직,,,,두리안정보기술,서울 여의도,개발부,인프라팀,1,차장,팀원,2,,,baejia.5@kakao.com,010-3222-9589,경기도 고양시 일산동구 장항동
EMP0029,오도현,남,24,2003-01-12,030112-3995296,군필,2026-01-15,0,대졸,인하대학교,3.5,추천,정규직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,사원,팀원,1,,,ohdohyun.7@gmail.com,010-1145-8767,서울시 서초구 방배동
EMP0030,구민준,남,28,1999-12-21,991221-1373832,군필,2022-05-23,3,대졸,충남대학교,2.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,사원,팀원,1,,,koominjun_924@nate.com,010-1417-9148,서울시 강동구 천호동
EMP0031,백소연,여,27,2000-04-11,000411-4489737,해당없음,2023-12-19,2,대졸,전북대학교,3.3,인턴전환,정규직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,대리,팀원,1,,,baeksoyeon91@naver.com,010-9199-2963,서울시 은평구 불광동
EMP0032,백서현,여,26,2001-10-15,011015-4104895,해당없음,2025-06-14,0,대졸,아주대학교,3.4,인턴전환,정규직,,,,두리안정보기술,서울 여의도,영업부,국내영업팀,1,사원,팀원,1,,,baekseohyun_429@naver.com,010-6641-6113,서울시 서초구 방배동
EMP0033,손도현,남,40,1987-01-10,870110-1722774,군필,2014-02-27,12,대졸,국민대학교,3.0,경력,정규직,SK하이닉스,대리,재무회계,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,차장,팀원,2,,,sondohyun63@gmail.com,010-9966-5140,경기도 성남시 분당구 판교동
EMP0034,신민준,남,33,1994-09-09,940909-1102871,군필,2018-02-22,8,대학원졸,가천대학교,3.3,공채,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,대리,팀원,1,,,shinminjun.2@gmail.com,010-2659-5192,경기도 용인시 기흥구 영덕동
EMP0035,남정우,남,34,1993-03-28,930328-1780364,미필,2023-02-27,3,대졸,숭실대학교,3.6,추천,정규직,,,,두리안정보기술,서울 여의도,영업부,해외영업팀,1,대리,팀원,1,자발적퇴직,2024-03-07,namjungwoo.8@nate.com,010-8178-3969,인천시 부평구 부평동
EMP0036,함민지,여,36,1991-02-14,910214-2157216,해당없음,2014-08-16,11,대졸,한양대학교,3.6,공채,정규직,,,,두리안정보기술,경기 판교,개발부,백엔드팀,1,차장,팀원,2,,,hamminji_dev@naver.com,010-6421-5557,서울시 강남구 삼성동
EMP0037,차성민,남,30,1997-10-15,971015-1687360,군필,2023-08-15,2,대졸,이화여자대학교,2.7,공채,계약직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,대리,팀원,1,,,chasungmin_dev@nate.com,010-5783-9973,경기도 성남시 분당구 정자동
EMP0038,원지민,여,26,2001-12-24,011224-4104548,해당없음,2024-03-27,2,대졸,홍익대학교,3.9,공채,정규직,,,,두리안정보기술,서울 여의도,개발부,AI팀,1,사원,팀원,1,,,wonjimin_899@gmail.com,010-7347-6273,경기도 성남시 분당구 정자동
EMP0039,백세연,여,44,1983-05-15,830515-2438041,해당없음,2007-07-11,18,대학원졸,강원대학교,3.8,인턴전환,정규직,,,,두리안정보기술,경기 판교,인사부,교육팀,3,부장,팀원,2,,,baekseyeon@kakao.com,010-1209-9564,서울시 서초구 서초동
EMP0040,손준서,남,24,2003-03-10,030310-3970300,군필,2025-05-25,0,대졸,숙명여자대학교,3.6,경력,정규직,포스코,대리,재무회계,두리안정보기술,서울 여의도,인사부,채용팀,3,사원,팀원,1,정년퇴직,2027-05-25,sonjunseo93@naver.com,010-3847-9418,서울시 서초구 서초동
EMP0041,박미래,여,35,1992-10-28,921028-2795556,해당없음,2021-03-06,5,대졸,가천대학교,2.6,경력,정규직,KT,사원,마케팅기획,두리안정보기술,서울 강남,개발부,AI팀,1,대리,팀원,1,,,parkmirae28@nate.com,010-6668-8301,서울시 송파구 잠실동
EMP0042,박재민,남,28,1999-12-10,991210-1315565,군필,2022-05-18,4,고졸,,,추천,계약직,,,,두리안정보기술,서울 강남,기획부,사업기획팀,1,대리,팀원,1,,,parkjaemin4@gmail.com,010-3916-5127,경기도 수원시 영통구 매탄동
EMP0043,주우진,남,33,1994-07-14,940714-1883028,군필,2020-08-21,5,전문대졸,영진전문대학교,3.5,공채,계약직,,,,두리안정보기술,서울 강남,개발부,인프라팀,1,대리,팀원,1,,,juwoojin.9@naver.com,010-3019-1684,서울시 강남구 역삼동
EMP0044,성지현,여,28,1999-12-12,991212-2173199,해당없음,2025-12-24,0,대졸,서강대학교,2.8,인턴전환,정규직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,sungjihyun.3@hanmail.net,010-6971-6182,서울시 영등포구 여의도동
EMP0045,김재민,남,30,1997-07-09,970709-1132709,군필,2020-12-21,5,고졸,,,추천,계약직,,,,두리안정보기술,경기 판교,인사부,교육팀,3,대리,팀원,1,,,kimjaemin@kakao.com,010-4658-5767,서울시 서초구 방배동
EMP0046,하예은,여,30,1997-11-08,971108-2764343,해당없음,2024-09-01,1,전문대졸,인하공업전문대학,3.6,경력,정규직,네이버,사원,영업관리,두리안정보기술,경기 판교,기획부,전략기획팀,1,사원,팀원,1,,,hayeeun.2@daum.net,010-7165-4651,경기도 성남시 분당구 정자동
EMP0047,문민지,여,38,1989-03-15,890315-2288783,해당없음,2016-01-17,10,전문대졸,경북전문대학교,2.7,경력,계약직,LG전자,대리,재무회계,두리안정보기술,서울 여의도,인사부,채용팀,3,과장,팀장,1,,,moonminji20@hanmail.net,010-8723-8891,서울시 마포구 상암동
EMP0048,백재현,남,26,2001-05-06,010506-3552457,미필,2024-11-17,1,대졸,이화여자대학교,2.7,경력,계약직,포스코,차장,데이터분석,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,baekjaehyun.6@nate.com,010-2600-7971,서울시 서초구 방배동
EMP0049,심소희,여,28,1999-05-07,990507-2705711,해당없음,2022-09-14,3,대졸,세종대학교,3.5,경력,정규직,네이버,사원,데이터분석,두리안정보기술,서울 여의도,개발부,백엔드팀,1,사원,팀원,1,,,shimsohee85@naver.com,010-9328-7562,서울시 용산구 이태원동
EMP0050,한성민,남,36,1991-10-14,911014-1342924,군필,2015-03-16,11,대졸,성균관대학교,3.6,공채,정규직,,,,두리안정보기술,경기 판교,개발부,AI팀,1,차장,팀원,2,,,hansungmin_kr@kakao.com,010-6785-7474,서울시 은평구 불광동
EMP0051,곽민준,남,42,1985-12-27,851227-1894268,군필,2010-09-10,15,대졸,충남대학교,3.4,추천,정규직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,부장,팀장,2,,,kwakminjun_kr@gmail.com,010-7269-4610,서울시 송파구 잠실동
EMP0052,백민지,여,39,1988-05-08,880508-2106945,해당없음,2020-12-27,5,전문대졸,명지전문대학,3.2,경력,정규직,KT,과장,데이터분석,두리안정보기술,경기 판교,개발부,인프라팀,1,과장,팀원,1,,,baekminji.3@daum.net,010-7518-4638,경기도 고양시 일산동구 장항동
EMP0053,최준서,남,34,1993-06-13,930613-1572623,군필,2019-01-17,7,대졸,전북대학교,3.0,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,교육팀,3,대리,팀원,1,권고사직,2024-04-19,choijunseo40@kakao.com,010-4212-3389,서울시 서초구 방배동
EMP0054,김윤서,여,34,1993-09-24,930924-2780663,해당없음,2022-11-17,3,대학원졸,중앙대학교,3.1,공채,정규직,,,,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,대리,팀원,1,,,kimyunseo67@hanmail.net,010-5694-8598,경기도 용인시 기흥구 영덕동
EMP0055,한수현,남,36,1991-02-03,910203-1516332,군필,2019-07-28,6,대졸,한국외국어대학교,3.6,인턴전환,정규직,,,,두리안정보기술,서울 강남,영업부,국내영업팀,1,대리,팀원,1,,,hansoohyun71@gmail.com,010-5300-3544,서울시 강남구 논현동
EMP0056,전소희,여,31,1996-03-17,960317-2665883,해당없음,2020-11-05,5,대졸,덕성여자대학교,3.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,개발부,백엔드팀,1,대리,팀원,1,,,jeonsohee@gmail.com,010-1001-9574,서울시 서초구 방배동
EMP0057,류채영,여,31,1996-08-10,960810-2398505,해당없음,2019-08-25,6,전문대졸,경북전문대학교,2.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,과장,팀장,1,,,ryuchaeyoung.8@kakao.com,010-5458-9060,서울시 마포구 합정동
EMP0058,이지아,여,24,2003-05-05,030505-4227885,해당없음,2026-02-10,0,대졸,서울대학교,2.8,추천,정규직,,,,두리안정보기술,서울 강남,개발부,프론트팀,1,사원,팀원,1,,,leejia.2@nate.com,010-4415-8746,서울시 은평구 불광동
EMP0059,홍지유,여,36,1991-11-10,911110-2748696,해당없음,2015-05-16,11,전문대졸,경북전문대학교,2.9,공채,정규직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,차장,팀원,2,,,hongjiyu46@naver.com,010-8992-4812,서울시 용산구 이태원동
EMP0060,유다은,여,30,1997-05-02,970502-2350385,해당없음,2024-12-05,1,대졸,아주대학교,3.4,경력,정규직,네이버,차장,마케팅기획,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,사원,팀원,1,,,yoodaeun.3@daum.net,010-6285-7714,경기도 용인시 기흥구 영덕동
EMP0061,윤지민,여,41,1986-03-06,860306-2932831,해당없음,2020-01-27,6,대학원졸,고려대학교,3.5,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,과장,팀장,1,,,yoonjimin.4@gmail.com,010-2658-4784,경기도 수원시 영통구 매탄동
EMP0062,서다은,여,41,1986-03-18,860318-2551504,해당없음,2019-10-21,6,대졸,광운대학교,3.5,인턴전환,정규직,,,,두리안정보기술,경기 판교,기획부,사업기획팀,1,과장,팀원,1,,,seodaeun56@kakao.com,010-1003-1567,서울시 강동구 천호동
EMP0063,곽지후,남,27,2000-06-01,000601-3724145,미필,2023-04-07,3,대졸,연세대학교,2.7,인턴전환,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,대리,팀원,1,,,kwakjihoo54@gmail.com,010-4714-1187,경기도 용인시 기흥구 영덕동
EMP0064,최수빈,여,31,1996-03-11,960311-2686464,해당없음,2019-09-19,6,대졸,세종대학교,3.6,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,과장,팀장,1,,,choisubin_dev@kakao.com,010-6298-2467,서울시 서초구 서초동
EMP0065,허하늘,여,30,1997-11-01,971101-2123853,해당없음,2021-06-20,4,대졸,명지대학교,3.4,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,교육팀,3,대리,팀원,1,,,heohaneul.8@nate.com,010-3315-1301,서울시 은평구 불광동
EMP0066,안준우,남,28,1999-05-02,990502-1755602,면제,2025-12-20,0,대졸,숙명여자대학교,3.8,인턴전환,정규직,,,,두리안정보기술,서울 여의도,개발부,백엔드팀,1,사원,팀원,1,정년퇴직,2026-12-20,ahnjunwoo.1@daum.net,010-4695-3485,서울시 용산구 이태원동
EMP0067,지수아,여,30,1997-11-22,971122-2265725,해당없음,2022-11-20,3,전문대졸,영진전문대학교,3.9,인턴전환,정규직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,jisua13@kakao.com,010-5970-8258,경기도 용인시 기흥구 영덕동
EMP0068,임다은,여,26,2001-10-20,011020-4878427,해당없음,2025-01-25,1,고졸,,,공채,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,사원,팀원,1,,,limdaeun98@naver.com,010-8005-7633,서울시 강남구 삼성동
EMP0069,방지수,여,36,1991-09-17,910917-2823468,해당없음,2018-10-20,7,대졸,덕성여자대학교,3.8,공채,정규직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,대리,팀원,1,,,bangjisu_612@kakao.com,010-7775-6299,서울시 강서구 마곡동
EMP0070,오민호,남,39,1988-06-23,880623-1756883,군필,2011-02-09,15,대졸,고려대학교,3.5,추천,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,차장,팀원,2,정년퇴직,2023-08-01,ohminho11@kakao.com,010-9904-1094,인천시 부평구 부평동
EMP0071,황예린,여,46,1981-08-03,810803-2740774,해당없음,2009-08-14,16,전문대졸,경북전문대학교,3.4,인턴전환,정규직,,,,두리안정보기술,서울 여의도,기획부,전략기획팀,1,차장,팀원,2,,,hwangyerin51@gmail.com,010-8001-2063,서울시 강동구 천호동
EMP0072,장채원,여,45,1982-09-07,820907-2344026,해당없음,2006-09-14,19,대학원졸,국민대학교,3.2,공채,정규직,,,,두리안정보기술,경기 판교,기획부,전략기획팀,1,부장,팀장,2,,,jangchaewon36@gmail.com,010-6468-6728,경기도 수원시 영통구 매탄동
EMP0073,김도현,남,45,1982-05-17,820517-1430828,미필,2007-02-10,19,대학원졸,한국외국어대학교,3.7,공채,정규직,,,,두리안정보기술,경기 판교,개발부,백엔드팀,1,부장,팀원,2,,,kimdohyun_dev@kakao.com,010-9753-3719,경기도 고양시 일산동구 장항동
EMP0074,오세연,여,28,1999-05-14,990514-2906859,해당없음,2024-12-02,1,대졸,덕성여자대학교,2.8,인턴전환,정규직,,,,두리안정보기술,서울 강남,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,ohseyeon.7@gmail.com,010-1067-6095,서울시 강남구 삼성동
EMP0075,고민호,남,25,2002-05-01,020501-3236392,군필,2025-11-24,0,대졸,한양대학교,3.3,인턴전환,정규직,,,,두리안정보기술,서울 강남,인사부,교육팀,3,사원,팀원,1,,,kominho_155@nate.com,010-8304-6826,서울시 강동구 천호동
EMP0076,서보미,여,31,1996-12-15,961215-2395968,해당없음,2022-03-03,4,대졸,단국대학교,3.2,추천,정규직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,사원,팀원,1,,,seobomi.6@nate.com,010-2162-5949,경기도 수원시 영통구 매탄동
EMP0077,배하영,여,30,1997-03-16,970316-2172988,해당없음,2020-04-18,6,대학원졸,한국외국어대학교,3.7,추천,정규직,,,,두리안정보기술,서울 여의도,개발부,AI팀,1,대리,팀원,1,,,baehayoung_760@hanmail.net,010-1003-3403,서울시 서초구 방배동
EMP0078,성다현,여,36,1991-04-22,910422-2755584,해당없음,2019-08-07,6,대졸,충남대학교,4.0,인턴전환,정규직,,,,두리안정보기술,서울 여의도,영업부,해외영업팀,1,대리,팀원,1,,,sungdahyun94@naver.com,010-4083-7301,서울시 노원구 상계동
EMP0079,임다현,여,38,1989-11-01,891101-2846722,해당없음,2014-01-03,12,대졸,경북대학교,2.7,공채,정규직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,차장,팀원,2,,,limdahyun.2@kakao.com,010-2311-3327,경기도 성남시 분당구 정자동
EMP0080,남수연,여,25,2002-12-22,021222-4128624,해당없음,2025-08-21,0,전문대졸,경북전문대학교,3.3,인턴전환,정규직,,,,두리안정보기술,경기 판교,기획부,사업기획팀,1,사원,팀원,1,정년퇴직,2026-08-21,namsuyeon.3@daum.net,010-5509-5209,서울시 강남구 역삼동
EMP0081,구현우,남,38,1989-03-09,890309-1888977,미필,2012-06-26,13,대졸,중앙대학교,3.0,공채,정규직,,,,두리안정보기술,경기 판교,인사부,교육팀,3,차장,팀원,2,권고사직,2016-12-09,koohyunwoo61@daum.net,010-8353-7258,서울시 용산구 이태원동
EMP0082,조민석,남,41,1986-05-11,860511-1302458,군필,2010-10-21,15,대졸,중앙대학교,3.2,추천,정규직,,,,두리안정보기술,서울 여의도,영업부,국내영업팀,1,차장,팀원,2,,,jominseok8@gmail.com,010-3128-7159,경기도 용인시 기흥구 영덕동
EMP0083,윤현우,남,31,1996-11-15,961115-1136554,군필,2020-11-03,5,대졸,성균관대학교,3.7,인턴전환,정규직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,대리,팀원,1,,,yoonhyunwoo3@nate.com,010-7397-5365,서울시 서초구 방배동
EMP0084,배아름,여,31,1996-12-25,961225-2141241,해당없음,2023-07-13,2,대학원졸,고려대학교,2.7,추천,계약직,,,,두리안정보기술,경기 판교,기획부,전략기획팀,1,사원,팀원,1,,,baeareum90@gmail.com,010-8175-4104,서울시 서초구 방배동
EMP0085,서서준,남,50,1977-02-26,770226-1354471,군필,2008-08-13,17,대졸,연세대학교,3.0,공채,정규직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,부장,팀원,2,,,seoseojun.3@gmail.com,010-2742-2870,경기도 성남시 분당구 판교동
EMP0086,정도현,남,32,1995-06-04,950604-1107574,군필,2018-11-13,7,전문대졸,영진전문대학교,3.4,공채,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,대리,팀원,1,,,jungdohyun_926@naver.com,010-5439-9570,서울시 강서구 마곡동
EMP0087,황윤서,여,36,1991-10-03,911003-2363592,해당없음,2014-12-16,11,대학원졸,인하대학교,2.8,경력,정규직,LG전자,과장,영업관리,두리안정보기술,서울 여의도,영업부,해외영업팀,1,차장,팀원,2,,,hwangyunseo_206@gmail.com,010-8947-9436,서울시 서초구 서초동
EMP0088,황재원,남,45,1982-12-22,821222-1993021,군필,2011-07-07,14,대졸,성균관대학교,3.6,경력,계약직,SK하이닉스,사원,프로젝트관리,두리안정보기술,서울 강남,인사부,채용팀,3,차장,팀원,2,,,hwangjaewon.3@naver.com,010-4763-2416,서울시 영등포구 여의도동
EMP0089,신하영,여,38,1989-07-24,890724-2410158,해당없음,2018-01-24,8,고졸,,,경력,정규직,삼성전자,차장,백엔드개발,두리안정보기술,서울 여의도,인사부,교육팀,3,과장,팀장,1,,,shinhayoung.8@nate.com,010-1399-8452,서울시 강서구 마곡동
EMP0090,천성호,남,29,1998-01-28,980128-1839113,군필,2023-12-21,2,고졸,,,추천,정규직,,,,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,사원,팀원,1,,,chunsungho.8@nate.com,010-4437-4693,서울시 용산구 이태원동
EMP0091,송예은,여,47,1980-06-12,800612-2407410,해당없음,2007-01-03,19,전문대졸,영진전문대학교,3.2,인턴전환,계약직,,,,두리안정보기술,서울 강남,마케팅부,디지털마케팅팀,1,부장,팀장,2,,,songyeeun@naver.com,010-2031-1361,서울시 송파구 잠실동
EMP0092,백하영,여,32,1995-12-17,951217-2933048,해당없음,2020-10-22,5,대졸,서강대학교,2.8,인턴전환,정규직,,,,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,대리,팀원,1,,,baekhayoung_dev@naver.com,010-4361-1568,서울시 용산구 이태원동
EMP0093,임하늘,여,39,1988-02-01,880201-2142027,해당없음,2019-09-10,6,대졸,경북대학교,4.0,공채,정규직,,,,두리안정보기술,서울 여의도,마케팅부,디지털마케팅팀,1,과장,팀원,1,,,limhaneul89@daum.net,010-2515-6347,서울시 강남구 삼성동
EMP0094,우준서,남,28,1999-09-28,990928-1944809,군필,2025-01-03,1,대졸,한양대학교,3.9,공채,계약직,,,,두리안정보기술,서울 강남,개발부,인프라팀,1,사원,팀원,1,,,woojunseo_kr@kakao.com,010-9606-6495,서울시 강남구 논현동
EMP0095,강서연,여,31,1996-08-23,960823-2821255,해당없음,2020-03-18,6,고졸,,,인턴전환,정규직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,대리,팀원,1,,,kangseoyeon.8@kakao.com,010-5225-8799,서울시 서초구 서초동
